TQ,FQ,TS,FS
103,43,626,131
112,95,583,113
132,86,570,115
111,98,577,117
95,52,632,124
111,73,615,104
114,76,600,113
105,82,589,127
119,84,577,123
106,63,605,129
105,60,625,113
106,50,609,138
107,86,596,114
103,62,601,137
100,81,623,99
93,48,637,125
113,98,579,113
120,69,584,130
94,50,621,138
106,84,590,123
130,68,598,107
125,85,580,113
112,91,587,113
106,87,588,122
113,101,583,106
98,90,602,113
105,76,598,124
99,48,633,123
113,80,598,112
124,101,583,95
100,88,602,113
101,60,623,119
97,51,625,130
122,97,579,105
104,68,608,123
118,84,572,129
97,40,645,121
91,47,637,128
100,38,647,118
125,88,582,108
