TQ,FQ,TS,FS
70,28,641,164
77,62,616,148
235,526,130,12
218,544,131,10
56,25,659,163
80,43,645,135
69,18,658,158
71,53,618,161
70,54,607,172
218,533,135,17
202,553,132,16
81,45,614,163
61,24,658,160
81,53,610,159
66,53,651,133
72,48,637,146
57,32,645,169
85,52,601,165
74,63,608,158
67,52,622,162
94,53,613,143
74,31,634,164
68,44,634,157
59,48,627,169
76,57,627,143
64,49,643,147
80,59,615,149
71,47,634,151
74,47,631,151
73,50,634,146
64,51,639,149
70,60,623,150
212,539,137,15
82,57,619,145
76,49,627,151
77,32,624,170
74,40,645,144
65,31,653,154
86,41,644,132
75,55,615,158
