TQ,FQ,TS,FS
112,90,579,122
104,108,570,121
122,96,560,125
110,108,567,118
94,59,625,125
103,52,636,112
112,82,594,115
102,59,612,130
115,98,563,127
113,89,579,122
114,105,580,104
122,99,560,122
112,89,593,109
121,106,557,119
101,106,598,98
97,48,637,121
108,100,577,118
118,65,588,132
99,67,604,133
106,92,582,123
123,86,580,114
129,104,561,109
108,66,612,117
107,84,591,121
115,100,584,104
102,95,597,109
117,93,581,112
118,87,594,104
120,104,574,105
103,71,613,116
90,58,632,123
115,107,576,105
109,98,578,118
116,58,618,111
100,77,599,127
112,89,567,135
101,67,618,117
100,86,598,119
109,53,632,109
113,96,574,120
