TQ,FQ,TS,FS
136,120,549,98
94,64,614,131
113,59,597,134
98,46,629,130
102,54,630,117
102,40,648,113
119,101,575,108
97,60,611,135
102,53,608,140
104,52,616,131
96,48,637,122
132,117,542,112
120,121,561,101
120,115,548,120
102,72,632,97
115,121,564,103
119,122,555,107
119,38,615,131
115,100,571,117
115,120,554,114
114,47,619,123
110,79,586,128
199,458,220,26
117,105,570,111
119,124,560,100
99,97,595,112
129,126,548,100
112,98,583,110
130,115,563,95
119,113,571,100
92,46,644,121
111,113,570,109
99,73,603,128
91,48,628,136
115,111,565,112
125,76,580,122
122,114,571,96
99,60,624,120
109,49,636,109
98,54,616,135
