TQ,FQ,TS,FS
116,46,623,118
131,131,547,94
127,70,586,120
130,131,544,98
103,60,624,116
123,63,625,92
114,47,629,113
111,71,600,121
125,68,593,117
110,68,600,125
118,63,622,100
119,64,595,125
111,59,623,110
123,79,584,117
108,76,628,91
105,63,622,113
103,81,596,123
132,62,591,118
112,76,595,120
112,66,608,117
135,64,602,102
123,72,593,115
117,89,589,108
116,111,564,112
121,82,602,98
100,75,617,111
116,65,609,113
123,80,601,99
129,124,554,96
125,79,605,94
106,83,607,107
118,75,608,102
108,70,606,119
116,59,617,111
105,69,607,122
131,89,567,116
107,63,622,111
107,65,619,112
124,62,623,94
120,72,598,113
