TQ,FQ,TS,FS
117,64,605,117
123,133,545,102
118,60,596,129
96,49,626,132
106,61,623,113
108,40,648,107
125,110,566,102
114,111,560,118
127,131,530,115
133,107,561,102
123,112,573,95
119,76,583,125
112,79,603,109
125,121,542,115
106,79,625,93
116,126,559,102
97,72,605,129
118,40,613,132
126,123,548,106
92,51,623,137
118,50,616,119
117,84,581,121
126,131,547,99
103,71,604,125
121,131,553,98
93,63,629,118
125,106,568,104
129,112,569,93
120,73,605,105
122,119,565,97
94,57,633,119
97,64,619,123
126,122,554,101
93,52,624,134
118,115,561,109
128,66,590,119
113,108,577,105
100,54,630,119
116,45,640,102
106,72,598,127
