TQ,FQ,TS,FS
97,38,631,137
89,62,616,136
97,50,606,150
88,38,637,140
97,80,604,122
89,37,651,126
108,75,601,119
88,40,631,144
107,96,565,135
88,42,626,147
100,99,586,118
113,101,558,131
97,89,593,124
89,55,608,151
80,57,647,119
89,41,644,129
82,54,623,144
234,481,172,16
100,76,595,132
87,47,627,142
118,87,579,119
98,58,607,140
88,51,627,137
82,49,626,146
90,47,637,129
85,53,639,126
105,83,591,124
93,38,643,129
91,46,632,134
99,54,630,120
101,90,600,112
102,95,588,118
85,37,639,142
90,48,628,137
100,89,587,127
111,55,601,136
103,87,598,115
98,91,593,121
116,90,595,102
94,44,626,139
