TQ,FQ,TS,FS
123,85,584,111
120,111,567,105
129,89,567,118
94,65,610,134
95,52,632,124
100,47,641,115
103,42,634,124
113,95,576,119
128,98,563,114
119,80,588,116
126,107,578,92
131,110,549,113
104,63,619,117
132,108,555,108
113,111,593,86
111,88,597,107
95,65,612,131
132,81,572,118
99,58,613,133
112,90,584,117
137,86,580,100
133,101,564,105
116,95,583,109
102,86,589,126
121,108,576,98
102,102,590,109
112,83,591,117
125,93,588,97
104,56,622,121
125,99,585,94
103,96,594,110
128,109,574,92
119,99,577,108
125,100,576,102
105,55,621,122
133,106,550,114
114,80,605,104
109,89,595,110
107,59,626,111
126,96,574,107
