TQ,FQ,TS,FS
123,62,607,111
107,77,601,118
119,68,588,128
129,125,550,99
104,62,622,115
120,54,634,95
122,103,573,105
107,66,605,125
133,136,525,109
109,58,610,126
129,137,548,89
142,141,518,102
109,78,604,112
115,71,592,125
109,77,627,90
103,66,619,115
107,71,606,119
132,42,611,118
110,61,610,122
96,51,623,133
137,107,559,100
122,81,584,116
106,66,612,119
105,59,616,123
133,136,548,86
100,81,611,111
133,120,554,96
107,69,612,115
119,71,607,106
117,64,620,102
112,80,610,101
117,80,603,103
112,76,600,115
120,80,596,107
101,67,609,126
135,83,573,112
106,51,634,112
191,446,238,28
135,90,595,83
106,47,623,127
