TQ,FQ,TS,FS
559,441,228,110
366,216,462,312
482,318,338,174
310,144,531,365
412,259,425,272
387,211,477,301
400,237,439,276
410,233,438,261
334,140,521,327
448,289,379,220
402,194,491,283
235,91,568,424
316,190,492,366
311,159,504,352
344,178,526,360
418,231,454,267
262,115,562,415
402,190,463,251
461,274,397,210
300,146,528,374
405,256,410,261
374,224,441,291
350,154,524,328
296,157,518,379
438,266,418,246
419,228,464,273
415,266,408,259
435,266,415,246
359,220,458,319
415,224,460,269
418,230,460,272
366,206,477,317
400,224,452,276
513,266,410,163
219,92,584,457
382,232,424,274
463,249,436,222
357,211,473,327
448,246,439,237
482,303,367,188
