"","statement","question"
"bg",0.576197650674222,0.423802203096261
"L#",0.128356414217672,-0.128356503757413
"LL#",-0.00463308752270439,0.00463315022357487
"#H",-0.100110318021836,0.100110445141886
"#HH",-0.0850485552577879,0.0850485586916883
"#HHH",0.0167220399559416,-0.0167221386976569
"H#",-0.397620327431191,0.397620299750948
"HH#",-0.0520242879414357,0.0520243255688015
"LLL#",0.0524801222782315,-0.0524801491481406
"LLLL#",-0.07745702227645,0.0774570118250616
"LH#",0.0832043635430853,-0.0832039373436337
"#L",-0.337923400004097,0.337923557194855
"#LL",-0.0663509784053514,0.0663508756181461
"#HL",-0.29387976734118,0.293879750088505
"#LLL",-0.030761975101396,0.0307618807823343
"HHH#",0.080460166361962,-0.0804609319838375
"#HLL",-0.0450941551514595,0.0450941335814183
"#LLLL",-0.0215673508097359,0.0215673869146074
"HHHH#",0.737746454028672,-0.737743990586546
"HL#",-0.486555057246956,0.486550523638662
"#HHHH",0.18394747191954,-0.183947463886158
"LLH#",-0.197329829794499,0.197327086329172
"LHL#",0.119799764987551,-0.119806916096468
"LLHL#",0.376779923181462,-0.376672485801632
"LLLH#",0.000558359729382657,-0.000550812034565182
"HHL#",0.162649838500985,-0.162627770505692
"HHHL#",0.356665868567702,-0.356704409507103
"#HHL",-0.470153150946354,0.470153148389967
"LHHH#",-0.23967629864873,0.239685480862385
"#LH",0.466129585050606,-0.466132772272252
"HLL#",0.266727943029026,-0.266730363027169
"LHLL#",0.266727943029026,-0.266730363027169
