"","statement","question"
"bg",0.440398437693569,0.55959664530523
"empty",0.147299744192149,-0.147294802732581
"#L",-0.176167363652069,0.176169856119529
"HL#",-0.579911574554511,0.579913635115349
"L#",0.323037925778269,-0.323033611794569
"H#",-0.3206433982816,0.320648302874281
"#H",-0.117687392449082,0.117690860409387
"#HL",0.12604490388616,-0.126059724806092
"#HLH",-0.103417570107608,0.103468982902396
"LH#",0.242124420995756,-0.242121297591913
"LL#",-0.038711746530815,0.0387207280231761
"#HH",-0.0245481922210034,0.0245955816533762
"#LL",0.438955181977083,-0.43688842873653
"HH#",0.103244151271739,-0.103262211330726
"HHH#",-0.209805797916474,0.210009558161619
"LLH#",-0.167076578902682,0.16707895645406
"#LH",-0.0999206841541706,0.0999009949857439
"HLL#",-0.495142861930866,0.495122141433666
"LHL#",0.317807439797237,-0.317805406828761
"#HHL",-0.14411472058876,0.143976346983831
"LHH#",-0.0779589528359107,0.0779737535298622
"HLH#",-0.108242801600688,0.108206322451484
"LHLH#",0.404534833360291,-0.403979797245058
"HHL#",-0.0664332781628424,0.0663769174327238
"LLL#",0.26891989763537,-0.269240715113123
"#LHL",0.456135679396029,-0.45579616250893
"#HLL",0.392679351850262,-0.392434675242664
