TQ,FQ,TS,FS
167,291,378,67
178,326,352,47
166,288,368,81
170,316,359,58
152,322,362,67
172,352,336,43
166,298,378,61
174,369,302,58
188,330,331,54
162,295,373,73
168,361,324,50
180,304,355,64
161,343,339,60
176,314,349,64
139,343,361,60
149,277,408,69
173,368,309,53
200,342,311,50
175,306,365,57
175,332,342,54
179,303,363,58
45,40,625,193
173,347,331,52
158,295,380,70
167,336,348,52
145,311,381,66
159,306,368,70
152,292,389,70
182,335,343,43
176,342,342,43
164,349,341,49
176,325,358,44
177,346,330,50
175,350,326,52
172,345,331,55
189,353,303,58
150,290,395,68
157,301,383,62
165,342,343,53
180,342,328,53
