TQ,FQ,TS,FS
135,106,563,99
150,169,509,75
166,176,480,81
147,165,510,81
119,77,607,100
142,120,568,73
134,79,597,93
144,136,535,88
161,182,479,81
138,114,554,97
152,183,502,66
136,84,575,108
156,212,470,65
161,153,510,79
123,121,583,76
118,93,592,100
154,197,480,72
171,150,503,79
145,170,501,87
163,200,474,66
172,172,494,65
154,165,500,84
123,90,588,102
130,130,545,98
133,104,580,86
118,101,591,93
156,143,531,73
145,117,564,77
136,108,570,89
138,105,579,81
151,206,484,62
147,175,508,73
148,177,499,79
171,208,468,56
128,122,554,99
156,127,529,91
128,126,559,90
110,83,601,109
168,175,510,50
134,134,536,99
