TQ,FQ,TS,FS
146,398,300,59
121,251,417,114
116,240,430,117
111,246,424,122
106,198,451,148
153,387,294,69
178,367,285,73
111,241,430,121
101,273,420,109
160,411,273,59
126,248,405,124
114,242,424,123
105,258,425,115
173,382,280,68
112,246,439,106
133,251,405,114
143,383,314,63
154,377,302,70
167,362,302,72
114,253,417,119
