TQ,FQ,TS,FS
163,299,367,74
170,393,278,62
77,180,519,127
76,161,532,134
191,367,288,57
203,488,181,31
148,344,332,79
36,65,618,184
95,162,520,126
93,171,512,127
135,296,389,83
161,403,280,59
187,384,279,53
143,293,391,76
101,214,476,112
161,324,353,65
183,418,266,36
138,284,399,82
172,345,316,70
102,188,488,125
