TQ,FQ,TS,FS
166,372,293,72
105,236,440,122
206,697,0,0
165,382,298,58
161,400,278,64
162,393,289,59
112,262,435,94
111,236,437,119
35,85,593,190
50,67,600,186
48,85,589,181
157,393,278,75
163,386,293,61
115,268,419,101
117,261,400,125
37,76,600,190
177,375,278,73
166,370,301,66
175,364,304,60
98,202,446,157
