TQ,FQ,TS,FS
130,89,580,104
120,104,574,105
152,137,519,95
122,96,579,106
119,83,601,100
135,105,583,80
125,67,609,102
113,78,593,119
126,75,586,116
145,146,522,90
108,72,613,110
138,126,533,106
121,113,569,100
141,100,563,99
105,88,616,94
130,192,493,88
119,112,565,107
169,159,494,81
118,63,608,114
124,108,566,105
162,186,480,75
132,96,569,106
115,89,589,110
139,173,502,89
121,76,608,98
110,69,623,101
136,72,602,93
149,178,503,73
131,80,598,94
148,177,507,71
125,113,577,88
118,95,588,102
115,79,597,112
117,78,598,110
132,158,518,95
167,171,485,80
118,68,617,100
125,119,565,94
142,77,608,76
134,87,583,99
