TQ,FQ,TS,FS
123,66,603,111
113,80,598,112
125,67,589,122
124,87,588,104
118,84,600,101
122,63,625,93
116,47,629,111
118,76,595,114
126,92,569,116
119,69,599,116
109,76,609,109
118,75,584,126
114,94,588,107
125,83,580,115
104,82,622,95
107,70,615,111
106,86,591,120
140,60,593,110
120,73,598,112
119,104,570,110
135,79,587,102
131,93,572,107
108,72,606,117
106,71,604,122
120,52,632,99
107,72,620,104
125,64,610,104
121,74,607,101
124,91,587,101
122,74,610,97
116,94,596,97
115,76,607,105
116,80,596,111
113,80,596,114
130,145,531,97
136,79,577,111
116,70,615,102
133,157,527,86
134,62,623,84
130,93,577,103
