TQ,FQ,TS,FS
94,30,639,140
78,56,622,147
87,33,623,160
83,40,635,145
74,37,647,145
82,34,654,133
102,54,622,125
78,47,624,154
94,77,584,148
81,35,633,154
94,71,614,124
91,40,619,153
79,43,639,142
75,38,625,165
69,35,669,130
82,35,650,136
88,71,606,138
103,67,586,147
75,28,643,157
73,38,636,156
102,31,635,135
100,67,598,138
75,36,642,150
88,60,615,140
88,44,640,131
69,43,649,142
91,72,602,138
86,29,652,136
88,40,638,137
94,55,629,125
68,30,660,145
100,77,606,120
79,27,649,148
80,31,645,147
81,40,636,146
92,46,610,155
98,66,619,120
203,555,129,16
87,35,650,131
88,35,635,145
