TQ,FQ,TS,FS
80,26,643,154
72,39,639,153
84,30,626,163
89,78,597,139
82,58,626,137
86,56,632,129
212,558,118,15
87,61,610,145
89,77,584,153
87,63,605,148
86,72,613,132
97,67,592,147
71,38,644,150
76,36,627,164
73,76,628,126
83,58,627,135
66,45,632,160
98,62,591,152
69,30,641,163
66,27,647,163
106,57,609,131
95,60,605,143
81,59,619,144
213,548,127,15
203,552,132,16
60,31,661,151
84,72,602,145
75,35,646,147
80,29,649,145
75,41,643,144
75,69,621,138
73,40,643,147
80,65,611,147
91,61,615,136
210,547,129,17
90,44,612,157
80,24,661,138
79,66,618,140
86,27,658,132
78,34,636,155
