TQ,FQ,TS,FS
227,87,582,442
230,102,576,448
219,99,557,437
208,97,578,467
253,103,581,431
270,86,602,418
245,92,584,431
218,114,557,453
235,92,569,426
230,96,572,438
194,69,616,491
279,98,561,380
266,105,577,416
233,116,547,430
282,122,582,422
171,80,605,514
237,113,564,440
238,98,555,415
252,87,584,419
273,118,556,401
256,102,564,410
234,104,561,431
214,109,569,464
225,105,570,450
233,78,606,451
225,97,595,467
412,308,366,262
249,118,563,432
230,107,571,448
255,111,573,429
256,112,578,434
273,112,571,410
238,113,563,438
399,300,376,277
237,113,563,439
227,100,556,429
297,101,584,388
266,112,572,418
324,105,580,361
293,99,571,377
