TQ,FQ,TS,FS
194,80,589,475
183,83,595,495
217,100,556,439
212,122,553,463
269,146,538,415
205,84,604,483
207,127,549,469
243,133,538,428
213,123,538,448
447,389,279,221
188,89,596,497
198,81,578,461
209,90,592,473
221,133,530,442
251,100,604,453
237,146,539,448
223,129,548,454
237,125,528,416
188,67,604,483
241,127,547,433
209,82,584,457
275,132,533,390
426,390,288,252
197,104,571,478
224,108,576,460
184,85,607,508
467,390,284,207
206,92,589,475
206,88,590,472
202,95,589,482
233,142,548,457
251,147,536,432
258,137,539,418
251,136,540,425
228,141,535,448
266,132,524,390
280,133,552,405
202,90,594,482
230,84,601,455
257,130,540,413
