TQ,FQ,TS,FS
318,152,517,351
281,164,514,397
568,498,158,88
252,150,525,423
298,184,500,386
225,172,516,463
560,514,162,116
281,146,525,390
321,206,455,340
289,176,492,379
327,212,473,358
603,513,146,56
256,163,519,426
528,466,197,135
261,177,527,443
317,236,449,368
583,499,178,94
276,157,496,377
287,161,510,384
577,505,169,97
305,166,500,361
657,639,26,8
314,167,511,364
237,139,536,438
571,507,177,113
287,162,530,405
305,141,533,369
276,156,525,405
527,486,192,151
295,175,509,389
273,162,528,417
291,165,518,392
614,530,146,62
285,166,510,391
305,184,492,371
240,168,488,416
282,161,524,403
267,147,537,417
303,159,526,382
269,170,500,401
