TQ,FQ,TS,FS
591,569,100,78
580,574,104,98
573,571,85,83
2,5,670,673
14,8,676,670
577,597,91,111
578,586,90,98
579,573,98,92
19,5,656,642
605,555,113,63
611,579,106,74
605,569,90,54
592,578,104,90
567,555,108,96
635,591,113,69
581,570,115,104
612,575,102,65
4,8,645,649
671,671,0,0
605,562,112,69
16,8,658,650
9,4,661,656
12,5,673,666
587,575,100,88
603,572,112,81
617,585,107,75
610,562,112,64
595,573,108,86
3,6,672,675
680,682,2,4
595,581,109,95
19,10,673,664
603,570,106,73
625,571,105,51
5,10,666,671
566,566,90,90
15,3,682,670
596,581,103,88
569,572,113,116
598,571,99,72
