TQ,FQ,TS,FS
508,353,316,161
491,363,315,187
417,322,334,239
463,338,337,212
500,381,303,184
458,372,316,230
502,351,325,174
457,355,316,214
491,347,314,170
493,356,312,175
485,367,318,200
489,370,289,170
460,347,335,222
439,350,313,224
452,380,324,252
57,26,659,628
479,350,327,198
464,344,309,189
472,343,328,199
461,334,340,213
502,376,290,164
528,350,315,137
517,371,307,161
491,354,321,184
487,365,319,197
475,364,328,217
514,327,347,160
472,336,345,209
498,359,319,180
497,367,317,187
469,355,335,221
490,349,334,193
490,369,307,186
515,363,313,161
501,365,311,175
455,338,318,201
497,359,326,188
494,353,331,190
477,361,324,208
452,351,319,218
