TQ,FQ,TS,FS
71,34,635,598
552,503,175,126
72,25,631,584
58,34,641,617
166,214,470,518
81,26,662,607
67,28,648,609
84,35,636,587
510,490,171,151
530,483,185,138
47,20,665,638
507,499,160,152
682,682,0,0
69,26,637,594
94,41,663,610
685,685,0,0
514,528,149,163
509,485,168,144
671,671,0,0
548,488,186,126
537,512,154,129
525,502,163,140
57,25,653,621
55,28,647,620
513,491,193,171
75,32,660,617
73,25,649,601
65,21,660,616
542,502,176,136
68,28,656,616
57,19,671,633
530,484,199,153
79,26,650,597
676,676,0,0
56,39,637,620
76,27,629,580
509,528,157,176
69,30,654,615
511,514,171,174
94,33,637,576
