TQ,FQ,TS,FS
99,71,598,135
75,45,633,150
85,36,620,162
87,74,601,141
73,61,623,146
98,68,620,117
81,22,654,146
72,39,632,160
91,78,583,151
85,67,601,150
84,79,606,134
95,80,579,149
78,72,610,143
99,86,577,141
77,79,625,122
78,38,647,140
71,44,633,155
96,36,617,154
75,29,642,157
84,80,594,145
96,35,631,141
82,33,632,156
205,490,188,20
67,32,643,161
195,507,177,24
68,30,662,143
82,35,639,147
77,29,652,145
81,40,638,144
86,43,641,133
69,35,655,144
195,503,180,25
82,74,602,145
79,32,644,148
70,46,630,157
92,44,612,155
89,65,620,129
72,45,639,147
88,28,657,130
207,507,163,26
