TQ,FQ,TS,FS
212,490,179,22
199,534,144,26
223,491,165,24
201,516,159,27
196,513,171,23
30,6,682,185
28,9,667,199
200,513,158,32
21,12,649,221
207,501,167,28
19,18,667,199
26,9,650,218
198,530,152,23
218,501,162,22
181,541,163,18
193,499,186,25
199,522,155,27
232,486,167,18
207,504,167,25
17,5,669,212
221,536,130,16
219,520,145,19
203,526,152,22
205,500,175,23
198,505,179,21
22,19,673,189
208,501,173,21
22,15,666,200
18,13,665,207
204,502,182,15
191,514,176,22
24,16,667,196
204,521,155,23
214,516,160,13
200,510,166,27
221,499,157,26
15,13,672,203
201,511,173,18
193,516,169,25
205,513,157,28
