TQ,FQ,TS,FS
184,287,382,50
171,306,372,54
168,269,387,79
152,259,416,76
162,290,394,57
165,298,390,50
177,273,403,50
163,295,376,69
181,279,382,61
171,287,381,64
163,317,368,55
185,284,375,59
162,294,388,59
173,288,375,67
144,314,390,55
166,284,401,52
163,300,377,63
191,286,367,59
157,231,440,75
177,284,390,52
188,310,356,49
195,333,332,43
173,311,367,52
175,294,381,53
171,287,397,48
135,244,448,76
159,263,411,70
168,270,411,54
178,300,378,47
173,297,387,46
157,289,401,56
161,290,393,59
165,296,380,62
175,277,399,52
170,319,357,57
184,288,368,63
165,274,411,53
160,284,400,59
166,291,394,52
179,300,370,54
