TQ,FQ,TS,FS
202,482,187,32
189,474,204,36
210,464,192,37
196,481,194,32
185,479,205,34
187,507,181,28
198,493,183,29
198,470,201,34
215,461,200,27
204,454,214,31
193,496,189,25
215,476,183,29
185,482,200,36
202,458,205,38
168,496,208,31
180,462,223,38
198,489,188,28
30,20,633,220
194,452,219,38
18,12,662,211
208,461,205,29
22,33,632,216
191,469,209,34
25,17,658,203
192,476,208,27
182,473,219,29
207,463,211,22
187,480,201,35
202,491,187,23
25,23,661,194
22,22,668,191
20,22,661,200
186,475,201,41
203,489,187,24
198,498,178,29
213,474,182,34
21,21,664,197
195,493,191,24
29,15,670,189
199,473,197,34
