TQ,FQ,TS,FS
163,163,506,71
160,220,458,65
138,90,566,109
159,180,495,69
128,148,536,91
169,211,477,46
156,138,538,71
180,240,431,52
154,144,517,88
121,69,599,114
130,119,566,88
177,179,480,67
156,187,495,65
164,171,492,76
142,196,508,57
124,85,600,94
149,165,512,77
181,165,488,69
165,193,478,67
126,94,580,103
162,177,489,75
162,161,504,76
108,81,597,117
126,93,582,102
142,133,551,77
133,126,566,78
171,188,486,58
162,173,508,60
130,65,613,95
158,184,500,61
134,112,578,79
134,98,585,86
124,89,587,103
163,170,506,64
124,97,579,103
168,154,502,79
122,86,599,96
155,181,503,64
148,124,561,70
152,169,501,81
