TQ,FQ,TS,FS
85,117,552,149
63,99,579,162
163,273,383,84
168,363,312,60
67,95,589,152
164,400,288,51
73,108,568,154
107,157,514,125
111,155,506,131
146,264,404,89
172,429,256,46
179,376,283,65
173,405,277,48
139,266,397,101
162,425,279,37
122,312,373,96
164,405,272,62
108,148,505,142
179,396,275,53
123,239,435,106
