"","statement","question"
"bg",0.569279374190846,0.430720409937913
"#H",-0.0450604585891754,0.0450608647520271
"#HH",-0.149573607070854,0.149574276614147
"L#",0.189026113663181,-0.1890261748759
"LL#",0.0847160600890303,-0.0847158065221612
"#L",-0.344619013657193,0.344619117634123
"#LL",0.000992537202371492,-0.000992891290587143
"#LLL",-0.0421103456672298,0.042109353433568
"H#",-0.355054912222686,0.355054937917387
"LH#",0.142370066269587,-0.142364478036424
"LLH#",-0.241073718643606,0.241035309004177
"LLLH#",0.0970961140449539,-0.0970469694428794
"HH#",-0.00742637299512354,0.00742628851651618
"LLL#",-0.0379062663942675,0.0379060201416579
"LLLL#",-0.0641213010272561,0.0641212185177545
"HHH#",0.149622239314605,-0.149613852805503
"HL#",-0.506779452415686,0.506788030483214
"#HHH",0.106362310781852,-0.106362792609827
"#HHHH",0.0220476927287226,-0.022047656459244
"#HL",-0.339067982954095,0.339068412638547
"#HLL",-0.118513940980954,0.118509096974513
"LHL#",0.0620147175244378,-0.0620584493666519
"#HHL",-0.45361224789344,0.453612405876754
"#LLLL",-0.00931344140220482,0.00931487420849227
"HHHH#",0.638820812589963,-0.638903236148437
"HHL#",-0.0186017361361995,0.0185877009381393
"LHHH#",-0.303730032561979,0.303670423895788
"HLL#",0.226848160951313,-0.2268706538949
"LHLL#",0.226848160951313,-0.2268706538949
"LLHL#",0.382689079749971,-0.382529767453161
"#LH",0.477249382857651,-0.477254485799754
