TQ,FQ,TS,FS
390,111,558,279
368,119,559,310
364,139,517,292
417,146,529,258
403,150,534,281
441,165,523,247
419,152,524,257
392,168,503,279
317,78,583,344
397,147,521,271
361,134,551,324
429,157,502,230
385,166,516,297
398,121,542,265
410,150,554,294
366,89,596,319
447,168,509,230
402,127,526,251
353,129,542,318
525,287,387,149
433,147,519,233
425,181,484,240
408,155,523,270
366,159,516,309
565,336,348,119
425,142,550,267
421,140,534,253
422,146,535,259
400,124,554,278
429,133,551,255
396,133,557,294
408,137,546,275
508,307,369,168
382,156,520,294
367,129,547,309
439,170,486,217
455,173,512,230
373,117,567,311
440,141,544,245
376,141,529,294
