TQ,FQ,TS,FS
455,172,497,214
406,156,522,272
389,118,538,267
369,108,567,306
396,89,595,288
416,103,585,272
393,110,566,283
410,146,525,261
383,112,549,278
404,102,566,264
376,100,585,309
453,168,491,206
467,179,503,215
383,105,558,280
499,189,515,205
443,158,527,242
390,103,574,287
526,304,349,127
402,114,557,269
419,98,576,255
489,169,497,177
443,201,464,222
461,195,483,217
351,130,545,324
449,143,541,235
452,143,549,240
426,105,569,248
407,95,586,274
400,98,580,278
540,209,475,144
449,125,565,241
406,108,575,277
448,181,495,228
428,156,520,248
376,125,551,300
402,110,546,254
443,171,514,242
447,165,519,237
458,122,563,227
440,192,478,230
