TQ,FQ,TS,FS
360,66,603,309
443,199,479,235
400,143,513,256
409,157,518,266
367,73,611,317
464,155,533,224
412,158,518,264
412,182,489,259
430,171,490,231
422,157,511,246
427,149,536,258
442,177,482,217
434,161,521,248
408,139,524,255
481,183,521,223
364,63,622,321
366,94,583,311
375,82,571,278
418,156,515,253
462,172,502,212
466,198,468,200
420,173,492,245
342,97,581,336
341,144,531,334
432,149,535,252
487,196,496,205
469,164,510,205
398,144,537,283
393,116,562,285
473,161,523,211
459,178,512,231
420,137,546,263
379,91,585,297
438,193,483,238
406,185,491,270
478,183,473,178
445,178,507,240
343,68,616,341
477,176,509,208
394,160,510,276
