TQ,FQ,TS,FS
77,30,639,157
74,44,634,151
84,39,617,163
75,40,635,153
72,28,656,147
76,26,662,139
84,23,653,143
81,37,634,151
83,33,628,159
82,28,640,153
192,466,219,26
78,35,624,166
201,453,229,20
91,39,624,149
73,40,664,126
75,34,651,143
71,41,636,155
228,436,217,22
77,38,633,155
73,31,643,156
88,40,626,149
214,448,217,24
75,34,644,150
69,29,646,159
86,35,649,133
66,32,660,145
93,37,637,136
201,444,237,21
70,29,649,155
80,35,649,139
73,35,655,140
81,39,644,139
78,36,640,149
82,32,644,145
201,452,224,26
224,445,211,23
189,469,216,29
83,34,650,136
195,453,232,23
72,31,639,161
