TQ,FQ,TS,FS
101,40,629,133
109,105,573,116
98,45,611,149
107,105,570,121
79,40,644,140
114,95,593,101
110,74,602,117
92,49,622,140
99,47,614,143
88,44,624,147
87,55,630,131
118,111,548,126
103,101,581,118
96,57,606,144
95,111,593,104
94,45,640,124
88,57,620,138
110,41,612,140
93,37,634,139
82,42,632,147
122,101,565,115
95,53,612,143
100,108,570,125
84,45,630,144
95,50,634,124
101,106,586,110
107,99,575,122
96,44,637,126
108,109,569,117
112,106,578,107
84,47,643,129
92,51,632,128
91,43,633,136
89,40,636,138
103,98,578,124
111,54,602,136
86,41,644,132
88,50,634,131
196,490,195,22
100,47,623,133
