TQ,FQ,TS,FS
146,133,536,88
137,145,533,88
132,82,574,115
120,89,586,108
105,61,623,114
119,51,637,96
119,44,632,108
115,74,597,117
128,86,575,114
115,59,609,120
119,72,613,99
118,64,595,126
111,62,620,110
134,100,563,106
100,63,641,99
107,63,622,111
104,73,604,122
132,55,598,118
116,55,616,116
107,65,609,122
127,56,610,110
125,66,599,113
119,76,602,106
103,53,622,125
119,58,626,100
101,61,631,110
115,67,607,114
117,70,611,105
117,58,620,108
127,83,601,92
102,70,620,111
113,64,619,107
109,58,618,118
138,142,534,89
109,72,604,118
134,75,581,113
107,54,631,111
123,111,573,96
125,53,632,93
139,132,538,94
