TQ,FQ,TS,FS
50,16,653,184
203,513,165,22
57,15,641,190
51,19,656,177
202,503,181,17
45,15,673,170
207,506,170,20
51,21,650,181
55,17,644,187
51,18,650,184
47,20,665,171
223,510,149,21
47,12,670,174
227,489,174,13
47,18,686,152
190,488,197,28
44,22,655,182
60,19,634,190
213,511,160,19
45,16,658,184
63,19,647,174
217,506,159,21
205,496,182,20
44,16,659,184
52,24,660,167
40,15,677,171
59,26,648,170
201,499,182,21
46,17,661,179
206,511,173,13
196,520,170,17
199,510,173,21
47,17,659,180
57,20,656,170
205,514,162,22
63,18,638,184
195,510,175,23
197,507,177,22
66,16,669,152
45,15,655,188
