TQ,FQ,TS,FS
398,136,533,271
379,156,522,299
367,127,529,289
283,47,628,392
352,128,556,332
391,157,531,297
334,117,559,342
297,71,600,374
364,137,524,297
362,124,544,306
295,68,617,390
367,121,538,292
290,71,611,392
318,97,566,345
403,159,545,301
369,109,576,316
396,139,538,281
397,142,511,256
343,127,544,328
401,139,535,273
373,117,549,293
372,137,528,293
244,48,630,434
336,143,532,339
401,139,545,283
294,71,621,398
419,132,542,255
388,114,567,293
393,168,510,285
308,87,597,376
389,150,540,301
351,132,551,332
277,90,586,399
374,150,526,302
274,85,591,402
303,65,591,353
381,133,552,304
345,137,547,339
397,116,569,288
392,127,543,278
