TQ,FQ,TS,FS
459,165,504,210
359,121,557,319
430,167,489,226
350,90,585,325
441,151,533,243
426,89,599,262
383,71,605,293
391,117,554,280
416,140,521,245
426,156,512,242
344,104,581,341
475,170,489,184
470,184,498,212
386,98,565,277
517,160,544,187
444,154,531,241
410,111,566,267
424,120,533,229
464,168,503,207
505,179,495,169
466,147,519,200
434,160,505,231
456,180,498,222
417,136,539,258
483,182,502,201
464,166,526,228
498,205,469,176
494,192,489,187
477,156,522,201
531,177,507,153
503,185,505,187
479,158,525,204
468,164,512,208
457,151,525,219
360,121,555,316
509,264,392,147
430,148,537,255
450,145,539,234
487,143,542,198
442,170,500,228
