TQ,FQ,TS,FS
98,62,607,136
89,71,607,136
174,330,326,73
86,56,619,142
84,62,622,135
94,52,636,121
88,53,623,139
77,52,619,155
91,57,604,151
98,56,612,137
168,345,340,50
98,52,607,146
91,60,622,130
185,369,294,55
78,70,634,121
83,52,633,135
88,60,617,138
99,55,598,151
91,50,621,141
79,56,618,150
95,57,609,142
91,57,608,147
88,64,614,137
88,52,623,140
97,70,614,122
150,357,335,61
89,59,615,140
90,62,619,132
94,53,625,131
93,56,628,126
79,53,637,134
90,55,628,130
81,55,621,146
76,55,621,151
91,52,624,136
100,46,610,147
174,332,353,44
87,48,636,132
84,44,641,134
100,53,617,133
