TQ,FQ,TS,FS
150,126,543,84
148,154,524,77
143,102,554,104
135,105,570,93
141,166,518,78
138,120,568,77
142,113,563,85
150,139,532,82
154,143,518,88
163,132,536,72
160,144,541,58
169,132,527,75
163,154,528,58
164,163,500,76
141,146,558,58
143,143,542,75
152,132,545,74
178,143,510,72
157,183,488,75
150,143,531,79
165,137,529,72
148,125,540,90
146,135,543,79
148,111,564,80
134,129,555,85
138,176,516,73
137,105,569,92
159,143,538,63
145,137,541,80
151,117,567,68
138,121,569,75
126,116,567,94
151,131,545,76
136,116,560,91
146,147,529,81
153,107,549,94
141,129,556,77
151,147,537,68
139,129,556,79
167,135,535,66
