TQ,FQ,TS,FS
142,119,550,92
121,111,567,104
151,126,530,96
126,87,588,102
126,111,573,93
126,103,585,89
120,76,600,107
117,93,578,115
133,121,540,109
145,148,520,90
123,100,585,95
132,79,580,112
131,106,576,90
130,102,561,110
126,137,567,73
121,127,558,97
122,95,582,104
172,199,454,78
123,81,590,109
125,104,570,104
134,96,570,103
121,94,571,117
138,130,548,87
130,88,587,98
122,89,595,97
110,93,599,101
140,140,534,89
136,126,555,86
125,90,588,100
130,99,585,89
111,88,602,102
120,106,577,100
132,106,570,95
115,84,592,112
117,99,577,110
143,102,554,104
131,144,541,87
135,110,574,84
122,85,600,96
145,108,562,88
