TQ,FQ,TS,FS
145,105,564,89
148,176,502,77
161,143,513,86
139,131,544,89
128,113,571,91
146,159,529,69
123,69,607,104
126,96,575,106
153,137,524,89
142,99,569,93
131,105,580,87
143,92,567,101
134,89,593,87
146,150,513,94
119,105,599,80
137,140,545,81
126,100,577,100
149,93,560,101
128,82,589,104
124,103,571,105
133,86,580,104
145,153,512,93
131,100,578,94
155,139,536,73
137,142,542,82
113,100,592,98
129,95,579,100
129,90,591,93
121,103,575,104
144,130,554,75
123,103,587,90
150,197,486,70
131,102,574,96
120,93,583,107
122,104,572,105
149,103,553,98
141,162,523,77
131,95,589,88
142,117,568,76
154,130,540,79
