TQ,FQ,TS,FS
89,50,619,145
77,58,620,148
88,48,608,159
172,420,255,56
83,56,628,136
96,82,606,119
89,64,612,138
71,51,620,161
94,94,567,148
90,38,630,145
83,71,614,135
106,76,583,138
79,46,636,142
87,58,605,153
160,470,234,39
85,68,617,133
90,53,624,136
99,63,590,151
81,44,627,151
75,45,629,154
94,41,625,143
201,431,234,37
83,48,630,142
91,80,595,137
93,77,607,126
78,60,632,133
85,50,624,144
91,52,629,131
92,63,615,133
89,55,629,130
73,46,644,140
81,49,634,139
89,74,602,138
75,40,636,152
177,418,258,50
95,45,611,152
87,77,608,131
81,38,646,138
75,38,647,143
93,38,632,140
