TQ,FQ,TS,FS
146,237,432,88
120,253,425,105
121,230,426,126
114,237,438,114
126,276,408,93
121,299,389,94
145,278,398,82
215,541,130,17
136,251,410,106
211,563,105,24
123,263,422,95
140,250,409,104
202,563,119,19
129,249,414,111
183,572,132,16
121,254,431,97
128,237,440,98
151,264,389,99
135,278,393,97
131,239,435,98
145,266,400,92
152,251,414,86
142,251,427,83
216,569,106,12
125,243,441,94
109,236,456,102
209,559,115,20
120,239,442,102
134,259,419,91
123,277,407,96
126,287,403,87
206,568,115,14
142,280,396,85
145,287,389,82
203,546,130,24
132,239,417,115
129,234,451,89
123,240,444,96
124,253,432,94
128,244,426,105
