TQ,FQ,TS,FS
145,305,364,89
120,251,427,105
117,237,419,130
193,486,189,35
185,443,241,34
101,258,430,114
112,256,420,115
132,313,358,100
48,88,573,194
130,281,387,105
128,340,345,90
216,499,160,28
217,646,36,4
212,497,166,28
116,333,371,83
127,316,369,91
110,260,417,116
214,489,164,36
117,257,414,115
202,505,169,27
192,446,220,45
124,273,392,114
220,615,63,5
199,504,171,29
191,514,170,28
105,254,438,106
199,504,170,30
193,501,180,29
129,251,427,96
189,498,186,30
110,269,421,103
134,329,354,86
110,240,436,117
202,508,168,25
120,263,413,107
51,96,560,196
169,442,243,49
112,252,432,107
100,259,426,118
199,476,194,34
