TQ,FQ,TS,FS
24,35,634,210
219,661,17,6
18,40,616,229
22,35,640,206
16,44,640,203
211,658,30,4
180,555,121,47
24,40,631,208
17,46,615,225
21,31,637,214
181,539,146,37
197,528,131,47
216,654,28,5
25,35,628,215
195,675,29,4
166,525,160,52
57,154,523,169
210,504,149,40
230,643,28,2
226,647,27,3
21,41,625,216
236,634,31,2
3,2,676,222
17,44,631,211
212,643,41,7
17,33,659,194
22,38,636,207
180,534,147,42
223,647,31,2
217,660,24,2
17,44,646,196
28,42,641,192
222,653,23,5
17,40,636,210
226,648,28,1
21,39,617,226
177,542,143,41
175,542,142,44
215,653,32,3
21,42,628,212
