TQ,FQ,TS,FS
212,537,132,22
196,563,115,29
218,538,118,29
201,552,123,27
10,17,667,209
16,20,668,199
12,18,658,215
204,552,119,28
210,536,125,32
207,551,117,28
215,667,18,3
211,552,107,33
7,15,667,214
209,543,120,31
173,580,124,26
6,20,665,212
201,565,112,25
224,523,130,26
207,543,128,25
225,652,22,4
214,563,103,23
220,557,108,18
205,557,121,20
211,545,130,17
13,15,669,206
183,564,128,28
206,547,127,23
191,551,130,31
205,571,107,20
191,542,142,28
188,564,126,25
195,552,131,25
198,550,126,29
8,21,655,219
207,544,132,20
213,541,115,34
191,572,113,27
190,560,124,29
185,551,134,33
204,549,121,29
