TQ,FQ,TS,FS
204,476,193,30
0,0,678,225
0,0,656,247
186,483,192,42
188,505,179,31
180,503,185,35
189,478,198,38
0,0,671,232
202,479,182,40
198,478,190,37
187,500,185,31
207,467,192,37
185,495,187,36
208,485,178,32
1,8,696,198
183,483,202,35
2,10,667,224
214,472,181,36
191,466,205,41
196,472,202,33
200,483,183,37
211,478,187,27
198,486,192,27
191,470,205,37
183,491,193,36
179,488,204,32
202,464,210,27
187,460,221,35
3,8,670,222
2,12,672,217
182,492,198,31
191,473,210,29
194,487,189,33
200,497,179,27
200,491,185,27
208,460,196,39
182,495,190,36
1,12,672,218
182,485,200,36
191,480,190,42
