TQ,FQ,TS,FS
207,517,152,27
121,286,392,104
92,193,463,155
211,570,105,17
116,293,391,103
91,228,460,124
93,217,459,134
134,289,382,98
104,197,464,138
127,274,394,108
121,279,406,97
142,295,364,102
97,217,465,124
71,147,516,169
171,540,164,28
101,291,394,117
96,219,458,130
217,545,108,33
208,557,114,24
74,151,523,155
130,289,377,107
238,665,0,0
131,282,396,94
174,458,217,54
85,200,484,134
119,298,394,92
192,531,143,37
110,271,410,112
202,528,150,23
113,297,387,106
87,209,481,126
67,153,530,153
204,540,136,23
194,523,153,33
125,311,365,102
27,91,565,220
184,525,160,34
105,203,481,114
80,181,504,138
100,201,469,133
