TQ,FQ,TS,FS
26,43,626,208
162,453,225,63
181,417,239,66
15,29,646,213
217,641,43,2
15,40,648,200
169,459,217,58
174,456,215,58
189,445,216,53
181,449,219,54
213,642,43,5
183,452,207,61
217,642,40,4
15,29,634,225
150,489,215,49
6,31,654,212
175,461,216,51
188,432,221,62
175,420,251,57
189,447,227,40
233,632,34,4
193,436,229,45
181,465,213,44
169,452,223,59
167,448,236,52
163,451,241,48
180,439,235,49
0,2,679,222
181,452,226,44
169,459,225,50
164,450,240,49
168,433,250,52
0,0,676,227
185,460,216,42
176,453,223,51
182,434,222,65
162,438,247,56
215,637,47,4
159,438,247,59
12,27,643,221
