TQ,FQ,TS,FS
124,241,428,110
72,154,524,153
239,600,56,8
117,242,433,111
215,650,34,4
170,477,211,45
62,150,526,165
185,458,213,47
128,258,403,114
230,626,42,5
73,148,537,145
196,424,235,48
134,355,327,87
139,338,325,101
157,477,227,42
169,462,223,49
136,352,325,90
215,524,129,35
70,135,536,162
165,421,253,64
145,317,349,92
195,456,209,43
221,647,31,4
77,158,517,151
189,526,158,30
166,449,243,45
113,285,389,116
103,329,352,119
189,459,219,36
189,533,151,30
168,468,222,45
111,247,436,109
128,290,386,99
200,516,160,27
126,319,357,101
179,419,237,68
170,463,222,48
79,142,542,140
163,436,249,55
127,328,342,106
