TQ,FQ,TS,FS
0,0,669,234
188,490,188,37
201,480,176,46
190,494,181,38
0,0,684,219
178,504,184,37
188,509,167,39
193,489,182,39
204,483,178,38
200,488,180,35
186,515,170,32
207,509,150,37
190,505,177,31
194,477,186,46
165,524,180,34
175,497,188,43
189,490,187,37
210,471,182,40
187,479,192,45
196,497,177,33
201,489,177,36
203,489,176,35
190,511,167,35
187,498,177,41
182,499,185,37
179,507,185,32
199,490,184,30
181,493,188,41
194,505,173,31
218,674,10,1
0,0,690,213
184,492,191,36
184,500,176,43
195,518,158,32
192,494,182,35
205,490,166,42
184,481,204,34
216,662,22,3
176,484,201,42
196,495,175,37
