TQ,FQ,TS,FS
105,150,519,129
93,164,514,132
212,475,181,35
193,502,173,35
173,436,248,46
161,429,259,54
99,147,529,128
195,465,206,37
105,158,503,137
99,172,496,136
185,502,183,33
101,177,482,143
171,430,252,50
98,165,498,142
164,494,210,35
87,164,521,131
96,150,527,130
121,213,440,129
94,168,503,138
93,159,515,136
113,161,505,124
206,491,174,32
104,163,515,121
188,481,194,40
92,148,536,127
88,162,530,123
103,143,531,126
93,161,520,129
174,437,241,51
176,465,219,43
84,160,530,129
189,477,206,31
193,516,160,34
99,158,518,128
96,184,492,131
93,168,488,154
91,157,528,127
97,209,475,122
177,411,274,41
94,170,500,139
