TQ,FQ,TS,FS
148,293,376,86
146,315,363,79
163,295,361,84
128,292,383,100
141,304,380,78
125,327,361,90
213,605,71,14
140,274,397,92
153,299,362,89
145,299,369,90
128,339,346,90
157,305,354,87
136,318,364,85
151,312,351,89
120,328,376,79
142,316,369,76
153,301,376,73
153,308,345,97
143,305,366,89
139,299,375,90
156,304,362,81
153,276,389,85
152,316,362,73
133,290,385,95
134,292,392,85
136,310,382,75
156,297,377,73
144,294,387,78
143,316,362,82
144,310,374,75
138,312,378,75
142,324,359,78
147,340,336,80
153,310,366,74
221,606,70,6
152,324,332,95
206,614,71,12
212,621,63,7
147,312,373,71
142,294,376,91
