TQ,FQ,TS,FS
220,574,95,14
212,597,81,13
235,578,78,12
209,581,94,19
207,591,93,12
0,0,688,215
0,0,676,227
213,582,89,19
223,567,94,19
215,582,86,20
0,0,685,218
0,0,659,244
219,674,8,2
224,576,87,16
187,629,75,12
0,0,685,218
0,0,677,226
232,555,98,18
0,0,671,232
0,0,674,229
219,592,74,18
227,583,82,11
212,592,86,13
0,0,675,228
202,584,100,17
192,590,102,19
0,0,674,229
0,0,681,222
0,0,678,225
207,575,109,12
0,0,690,213
0,0,683,220
212,591,85,15
219,596,80,8
213,574,102,14
224,579,77,23
0,0,685,218
203,599,85,16
201,591,94,17
0,0,670,233
