TQ,FQ,TS,FS
165,358,311,69
159,374,304,66
160,334,322,87
155,358,317,73
141,360,324,78
146,379,309,69
158,373,303,69
144,340,331,88
174,356,305,68
162,353,315,73
155,390,295,63
233,605,54,11
148,376,306,73
146,339,324,94
136,407,297,63
141,349,336,77
155,382,295,71
177,351,302,73
157,343,328,75
170,362,312,59
228,619,47,9
229,611,54,9
162,384,294,63
0,0,675,228
0,0,684,219
200,635,57,11
216,600,74,13
147,353,328,75
165,369,309,60
149,361,323,70
138,357,333,75
155,350,333,65
154,369,307,73
167,374,302,60
159,364,312,68
141,337,319,106
153,353,332,65
156,367,317,63
139,365,320,79
158,368,302,75
