TQ,FQ,TS,FS
3,13,656,231
205,566,112,20
222,539,117,25
0,0,675,228
198,567,117,21
193,563,125,22
208,559,117,19
0,0,671,232
220,541,120,22
214,550,118,21
195,560,125,23
225,572,87,19
220,669,13,1
0,0,663,240
182,592,112,17
191,553,132,27
203,555,122,23
230,532,121,20
209,549,122,23
209,537,137,20
216,560,106,21
222,558,107,16
200,561,117,25
203,549,126,25
196,553,131,23
187,561,131,24
212,547,127,17
199,549,132,23
205,560,118,20
205,544,140,14
189,557,133,24
201,559,124,19
0,0,676,227
0,10,666,227
204,559,117,23
0,0,656,247
198,551,134,20
197,559,125,22
191,543,142,27
208,542,128,25
