TQ,FQ,TS,FS
230,636,33,4
181,547,131,44
205,512,144,42
195,531,144,33
215,660,24,4
168,550,138,47
14,27,649,213
192,535,136,40
240,631,30,2
231,641,27,4
185,536,149,33
14,23,636,230
0,0,682,221
201,509,154,39
6,32,672,193
167,518,167,51
17,29,648,209
51,156,497,199
230,651,20,2
196,520,154,33
203,544,122,34
208,533,132,30
17,25,653,208
10,24,651,218
181,534,150,38
174,532,160,37
193,532,142,36
182,527,154,40
192,539,139,33
16,35,649,203
211,669,21,2
187,532,151,33
5,16,660,222
224,648,28,3
0,0,676,227
18,28,628,229
11,27,658,207
180,538,146,39
170,548,137,48
15,36,634,218
