TQ,FQ,TS,FS
212,560,109,22
213,593,85,12
50,89,567,197
211,572,103,17
205,591,93,14
121,347,341,94
147,386,290,80
148,392,279,84
225,569,92,17
219,567,101,16
202,579,106,16
160,380,279,84
129,339,343,92
144,346,317,96
46,101,603,153
123,356,329,95
45,71,606,181
160,354,299,90
31,54,617,201
108,303,371,121
52,105,561,185
41,62,603,197
32,53,625,193
134,331,344,94
55,119,565,164
137,373,319,74
40,52,622,189
130,374,307,92
155,386,292,70
29,60,624,190
198,614,76,15
207,604,79,13
148,361,315,79
218,598,78,9
34,42,634,193
221,570,86,26
49,108,577,169
218,674,10,1
136,371,314,82
212,560,110,21
